date,q.cms,site
2020-11-02,13.084112149532709,DL
2020-11-03,13.027470971396204,DL
2020-11-04,12.885868026054942,DL
2020-11-05,12.914188615123194,DL
2020-11-06,12.914188615123194,DL
2020-11-07,13.027470971396204,DL
2020-11-08,12.461059190031152,DL
2020-11-09,11.781365052393088,DL
2020-11-10,12.177853299348625,DL
2020-11-11,13.027470971396204,DL
2020-11-12,12.77258566978193,DL
2020-11-13,12.291135655621636,DL
2020-11-14,12.489379779099405,DL
2020-11-15,12.319456244689889,DL
2020-11-16,12.602662135372414,DL
2020-11-17,13.310676862078731,DL
2020-11-18,13.763806287170773,DL
2020-11-19,13.707165109034268,DL
2020-11-20,13.282356273010478,DL
2020-11-21,12.347776833758141,DL
2020-11-22,11.158312092891531,DL
2020-11-23,10.70518266779949,DL
2020-11-24,11.58312092891532,DL
2020-11-25,12.149532710280374,DL
2020-11-26,12.517700368167658,DL
2020-11-27,12.291135655621636,DL
2020-11-28,11.866326819597846,DL
2020-11-29,10.676862078731236,DL
2020-11-30,9.034267912772584,DL
2020-12-01,8.156329651656755,DL
2020-12-02,7.67487963749646,DL
2020-12-03,7.646559048428207,DL
2020-12-04,8.241291418861511,DL
2020-12-05,8.836023789294817,DL
2020-12-06,9.147550269045595,DL
2020-12-07,9.232512036250354,DL
2020-12-08,9.62900028320589,DL
2020-12-09,10.138770886434438,DL
2020-12-10,10.110450297366185,DL
2020-12-11,9.005947323704332,DL
2020-12-12,8.6661002548853,DL
2020-12-13,9.09090909090909,DL
2020-12-14,9.713962050410649,DL
2020-12-15,9.51571792693288,DL
2020-12-16,9.713962050410649,DL
2020-12-17,9.742282639478901,DL
2020-12-18,9.685641461342396,DL
2020-12-19,9.51571792693288,DL
2020-12-20,9.685641461342396,DL
2020-12-21,10.110450297366185,DL
2020-12-22,9.997167941093174,DL
2020-12-23,9.374114981591617,DL
2020-12-24,8.920985556499575,DL
2020-12-25,8.949306145567828,DL
2020-12-26,9.402435570659868,DL
2020-12-27,9.544038516001132,DL
2020-12-28,9.062588501840837,DL
2020-12-29,8.43953554233928,DL
2020-12-30,8.354573775134522,DL
2020-12-31,9.28915321438686,DL
2021-01-01,10.138770886434438,DL
2021-01-02,10.2803738317757,DL
2021-01-03,10.252053242707447,DL
2021-01-04,10.025488530161427,DL
2021-01-05,10.2803738317757,DL
2021-01-06,10.138770886434438,DL
2021-01-07,10.138770886434438,DL
2021-01-08,10.138770886434438,DL
2021-01-09,9.544038516001132,DL
2021-01-10,9.175870858113848,DL
2021-01-11,8.949306145567828,DL
2021-01-12,9.487397337864627,DL
2021-01-13,9.572359105069385,DL
2021-01-14,8.779382611158312,DL
2021-01-15,8.269612007929764,DL
2021-01-16,9.119229679977343,DL
2021-01-17,8.920985556499575,DL
2021-01-18,8.86434437836307,DL
2021-01-19,8.6661002548853,DL
2021-01-20,8.043047295383744,DL
2021-01-21,8.581138487680542,DL
2021-01-22,8.694420843953553,DL
2021-01-23,8.524497309544039,DL
2021-01-24,7.4766355140186915,DL
2021-01-25,7.618238459359954,DL
2021-01-26,7.391673746813933,DL
2021-01-27,7.2500708014726705,DL
2021-01-28,7.67487963749646,DL
2021-01-29,8.411214953271028,DL
2021-01-30,8.354573775134522,DL
2021-01-31,8.128009062588502,DL
2021-02-01,8.071367884451996,DL
2021-02-02,8.32625318606627,DL
2021-02-03,8.581138487680542,DL
2021-02-04,8.411214953271028,DL
2021-02-05,8.382894364202775,DL
2021-02-06,8.014726706315491,DL
2021-02-07,6.230529595015576,DL
2021-02-08,5.664117813650524,DL
2021-02-09,5.352591333899745,DL
