"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-08-10 02:30:00,23.893,6.855,0,695.571123545501,1.11851438636035,0.260609524249109
2022-08-10 02:35:00,23.876,6.834,0,695.570665173206,1.11851438636035,0.260609524249109
2022-08-10 02:40:00,23.859,6.806,0,695.570206800911,1.11851438636035,0.260609524249109
2022-08-10 02:45:00,23.851,6.764,0,695.569748428616,1.11851438636035,0.260609524249109
2022-08-10 02:50:00,23.817,6.727,0,695.569290056322,1.11851438636035,0.260609524249109
2022-08-10 02:55:00,23.8,6.74,0,695.568831684027,1.11851438636035,0.260609524249109
2022-08-10 03:00:00,23.792,6.729,0,695.568373311731,1.11851438636035,0.260609524249109
2022-08-10 03:05:00,23.759,6.722,0,695.567914939436,1.11851438636035,0.260609524249109
2022-08-10 03:10:00,23.725,6.708,0,695.567456567142,1.11851438636035,0.260609524249109
2022-08-10 03:15:00,23.692,6.693,0,695.566998194847,1.11851438636035,0.260609524249109
2022-08-10 03:20:00,23.675,6.674,0,695.566539822552,1.11851438636035,0.260609524249109
2022-08-10 03:25:00,23.65,6.66,0,695.566081450257,1.11851438636035,0.260609524249109
2022-08-10 03:30:00,23.633,6.642,0,695.565623077962,1.11851438636035,0.260609524249109
2022-08-10 03:35:00,23.616,6.609,0,695.565164705667,1.11851438636035,0.260609524249109
2022-08-10 03:40:00,23.591,6.584,0,695.564706333372,1.11851438636035,0.260609524249109
2022-08-10 03:45:00,23.566,6.566,0,695.564247961077,1.11851438636035,0.260609524249109
2022-08-10 03:50:00,23.532,6.562,0,695.563789588782,1.11851438636035,0.260609524249109
2022-08-10 03:55:00,23.499,6.543,0,695.563331216487,1.11851438636035,0.260609524249109
2022-08-10 04:00:00,23.482,6.535,0,695.562872844192,1.11851438636035,0.260609524249109
2022-08-10 04:05:00,23.44,6.514,0,695.562414471897,1.11851438636035,0.260609524249109
2022-08-10 04:10:00,23.44,6.479,0,695.561956099602,1.11851438636035,0.260609524249109
2022-08-10 04:15:00,23.398,6.465,0,695.561497727307,1.11851438636035,0.260609524249109
2022-08-10 04:20:00,23.365,6.447,0,695.561039355012,1.11851438636035,0.260609524249109
2022-08-10 04:25:00,23.34,6.446,0,695.560580982717,1.11851438636035,0.260609524249109
2022-08-10 04:30:00,23.331,6.422,0,695.560122610422,1.11851438636035,0.260609524249109
