"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-08-18,3.92374445025988,3.28775749780771,4.56474722599638,1.00053622686596,-4.65810389834757,-5.64963116953727,-3.66406204982017,1.00033817864147,-0.734359448087683,-2.36187367172956,0.900685176176204,1.58034340070766,1.00302000725204
"sfkeel_mir_2023",2023-08-19,3.90964260768636,3.2652984411208,4.55622371354312,1.00049839012477,-5.18116140318264,-6.21833830943555,-4.17184032585538,1.00133645360326,-1.27151879549628,-2.95303986831474,0.384383387687746,1.55958142011098,1.00639146092842
"sfkeel_mir_2023",2023-08-20,4.1584735048083,3.5381449343824,4.79366451465195,1.00098930456847,-4.97728218657826,-5.97537320233106,-4.00960087367264,1.00133786376314,-0.818808681769962,-2.43722826794866,0.784063640979307,1.51947129729463,1.00317148162806
"sfkeel_mir_2023",2023-08-21,1.69616846064608,1.10329354463231,2.29238793242332,1.00079563481678,-5.05603474252673,-6.17418734811691,-3.97244192603581,1.00080694110219,-3.35986628188065,-5.07089380348459,-1.6800539936125,1.90771520779247,1.00140628823017
"sfkeel_mir_2023",2023-08-22,4.1006699925213,3.42814108239345,4.76699644282407,1.00055630986788,-5.26121815637585,-6.30570383135279,-4.21096367541158,1.00046815479241,-1.16054816385455,-2.87756274895934,0.556032767412498,2.67878661610199,1.00101502197704
"sfkeel_mir_2023",2023-08-23,3.86551573618281,3.19146535136764,4.52082973428445,1.00028102200042,-5.58312083852069,-6.64735662857112,-4.49499441209154,1.00142788321979,-1.71760510233789,-3.45589127720348,0.0258353221929166,3.20701463241729,1.00814199211663
"sfkeel_mir_2023",2023-08-24,3.95182047297212,3.28262807956849,4.61103845762621,1.00114897391289,-5.45290816957329,-6.48997893539776,-4.4055423079668,1.00114612036797,-1.50108769660117,-3.20735085582927,0.205496149659404,2.86473797114805,1.00664682305875
"sfkeel_mir_2023",2023-08-25,3.69786226364722,3.03427266811193,4.36906998387249,1.00076417082198,-5.35611762945269,-6.39582353240132,-4.30270686988731,1.00131318565522,-1.65825536580548,-3.36155086428939,0.0663631139851839,2.61483784262195,1.00260472566187
"sfkeel_mir_2023",2023-08-26,3.57794927036703,2.93051334744795,4.22504340035235,1.0006513406806,-5.18618846971672,-6.20576969566999,-4.13217507462297,1.00096056288794,-1.60823919934969,-3.27525634822205,0.0928683257293716,2.28642848548811,1.00298167064566
"sfkeel_mir_2023",2023-08-27,3.65956697305243,3.02220831314559,4.28358494238002,1.00118706888647,-5.00805434545703,-6.00714342452924,-4.0006994000704,1.00061000299754,-1.3484873724046,-2.98493511138365,0.282885542309614,2.05522604907256,1.00056799659288
